Comment Title,Comments,Countries,Date,Mobile,Rating
Family luxury ,Beautiful surroundings| right on the beach! Kids had a great time at the Bob Marlin club and also with the entertainment and activities provided by the resort. Facilities and services were excellent. Perfect for a romantic retreat. ,Athens| Greece,12-10-14,Yes,4
Excellence!!!!!!,We are almost a week back from our stay in Trou Aux Biches Resort and Spa!We spent there 7 days and I hope we could have stayed more... Fabulous hotel! Better live than in the pictures! Rooms| Gardens| Beach| Restaurant and Services... made our dreams for a perfect honeymoon trip come true. The location is perfect as well. There are things to do outside but the most important is that it offers an easy access to Grand Baei and Port Louis. The staff was very kind and helpfull....The suite (321) was very spacious and clean and near the restaurants| the reception| the beach and everywhere....One of the best hotels I have ever been. The only bad thing was that in case you re in a B&B package there is no way to find out how much the dinner in a restaurant costs. But it was not so important at the end...We recommend it to everyone for honeymoon or even a simple trip....Surely go back again...,Athens| Greece,11-10-14,Yes,5
Designed and detailed to the finest hospitality property,Just back today after spending five days at Troc Aux Biches resort and spa and just fallen in love because of the its detailing to suit children| couple and elderly visitors at the same time. It's not only user friendly but the staff may have been trained to treat the visitors like a family. Wide spread sea front| six restaurants of different cuisine| number of swimming pools of different sizes| sports| kids club| water bodies and the topping of beautiful landscape. Little expensive but recommended to take half board option while booking. Opt for first floor accommodations as per personal or family's requirements. Once is not enough| will love to visit again.,Lucknow| India,07-10-14,Yes,5
Wonderful resort,We loved our stay at Trou aux Biches in July 2014. Rooms are spacious and modern| beach is idyllic and beautiful| with lots of water sports for everyone. Food was good | but could be better. Service in the main restaurants could be quite slow at times.But would highly l\recommend this hotel to friends as we had a absolutely wonderful time there,Perth| Australia,05-10-14,Yes,4
Amazing honeymoon!,We stayed here for a week from 17th September 2014 for our honeymoon.We had a junior suite which was lovely and perfect for us. Spacious and clean.We were on full board. Buffet breakfast - was great with a huge range of choices including a really good egg station. Lunch -Good choice. We did complain on one occasion as we were sat at our table for 15-20 minutes while waiters walked passed smiled at us but then ignored us. This was rectified by the beverage manager where we were invited for lunch at le deck the following day. The food was so much better at le deck for lunch. Shame that's not the same standard at the buffet but it was still good.DinnerBuffet - food was ok. Only had dinner here once.There are Thai| Indian| Italian & seafood restaurants. Our favourites were the Thai & Indian.Thai - gorgeous food!Indian - another of our favourites.Book a few restaurants in one go as they get booked up fast.Beach - this was gorgeous! Only thing to watch out for are the beach hawkers| they can get rather annoying. We found you could get the same products at a much better rate at Port Louis market (Better haggling there). There's a bus about 2mins walk from the hotel into Port Louis which took about 30mins. Not bad for like 33ruppees pp. Also it's nice to experience local transport and get to see more!PoPo supermarket is about 5mins walk.The main pool at this hotel is amazing! The biggest and most beautiful one we have seen. There are also smaller pools in between the suites. We would definitely recommend this hotel!,London| United Kingdom,05-10-14,Yes,5
Superb - just book it!,I could say lots and lots of amazing things about this hotel| I could go on about how polite and skilled the boat staff| restaurant staff and chefs are| I could rave about the very tasty food at every restaurant (especially the buffet) I could delight in sharing pictures of the fabulous sunsets.But im not| trust me this hotel is brilliant| yes we all have our own preferences and dislikes one way or another| but any negatives are so minimal for this hotel that all I will say is that if you have not booked it yet - BOOK IT NOW| and if you have - YOU WILL LOVE IT.Tip - Its on the North west of the island where its warmer and less windy (this is very important when booking in Mauritius| do some research to understand why)Tip - 1/2 bottle of wine = 2 Beers :)Tip - Drinks to buy are expensive| walk 5-10 minutes into the village just off the beach (left if looking at the ocean) buy your mixers| soft drinks and snacks at any local shopTip - Beach hawkers| start very very high| if you do buy| go very very low| and again check the local shops| as they sell everything the hawker has| don't be fooled ;)Tip - If you are not on full or half board there are plenty of restaurants within walking distance or a brief taxi ride.Tip - Take mosquito repellent and be extra cautious around the smaller pools.Tip - Taxis can be booked much cheaper from a Mauritian taxi company and are very good.Tip - Don't bother with your own towels (save the weight) they have loads (and quality ones) and change them all the time.Tip - If you have not booked| look at booking direct| especially honeymooners| they did have some excellent discounts| we saved nearly 2k compared to a package holiday.Tip - Don't worry about booking your beach lounger at 6am| we were getting down there at 9am and there were always plenty left| and we went during peak season.Tip - Relax and Enjoy :),Uttoxeter| United Kingdom,04-10-14,Yes,5
Here you have it,I found it difficult from the reviews to understand what was on offer at Trou Aux Biches so hopefully the following detailed review will help.Overall the hotel is situated in an great location aprox 1hr from the airport and not in the thick of the tourist area but close enough if you want to visit. The hotel and facilities are clean and the grounds are spacious giving you enough to do over the week and not get bored. The only downside I could say is the service is slow| when ordering drinks for breakfast & lunch you could be through your first course before they arrive. All the staff are very pleasant and polite this is the only negative I could think of. Also if you don't like birds then make sure you only dine in the Mahiya or Blue Ginger (which actually are the best food also) as the others are infested with birds flying through and in the daytime sitting on empty tables picking on left overs.Hope the details do not bore you....We booked on a Full Board Plus Honeymoon package for 7 nights| which includes;breakfast- buffet in 2 restaurantslunch- buffet in 2 restaurants with 1/2 bottle water pp and one drink (beer/wine/soft drink)|dinner- any of the 6 restaurants with 1/2 bottle water| 1/2 bottle wine and hot drinks. The restaurants do have supplements for some items on the menu| ie steak was 1200 Rupees.A large range of water sports are on offer complementary to guest| as well as a complete techno gym| cardio room| tennis courts and table tennis.On arriving at 11am we were given an early check in and upgraded to a Junior Tropical plus suite without even asking for any of this. Make sure you book for dinner early as the non-buffet restaurants get fully booked. FOODDinner @ Blue GingerSet menu with 3 tasting starters| soup| 3 mains| dessert and coffees. Lovely variety of flavours| my food was spicy as requested and wife's mild. Service was great but as it got busier felt may have been a little under staffed for the capacity. Breakfast @ L'OrientGood variety buffet inc; omelette| waffle and pancake stations. Full English available as well as cold meats and cereal etc. But these buffets gets boring after a few days.Lunch @ L'OrientBuffet not overly exciting as the variety is less then breakfast and very repetitive. Good to have a free beer to wash it all down though.Dinner @ L'OrientBuffet - we only ate here once as wanted to try all the restaurants on site. There was a variety with some food stands offering freshly cooked meats but was not impressed with the food or time taken to serve drinks. Breakfast & Lunch @ La CaravellaVery similar to L'Orient but on a smaller scaleDinner @ La CaravellaOur first visit we ordered off the menu but found the dishes were not particularly to our liking but on our second visit we went off menu and asked for our own touches. The waiter did not understand us very well but we got there in the end and they delivered what we had asked for. Being our anniversary we asked for a special table which is within a four posted deck (very romantic)| and we were presented with a 'Happy Anniversary' cake with desert. Dinner @ Le DeckWe went for the Lamb Cutlets (should have tried the sea food in hindsight) which were OK. We were sat at the beach front table which was very windy so we asked to move closer in which wasn't a problem| but the service was not great. Again they seem over stretched and we did not receive the attention you would expect for A La Carte dinning.Dinner @ MahiyaSet MenuWe had pre-advised we did not want any meat| so it was nice when the Chef personally came out to discuss my food options| he made a special chana masala which was amazing with egg free nans.Service was great and we wish we had booked here for our anniversary but it was fully bookedDinner @ Il CoralloOption of soup or buffet antipasta for startersSelection of mainsOur waitress was very helpful and friendlyFACILITIESLimo ServiceOffer taxis at set rates and a X5 for longer tours. Our driver VJ was very helpful we took an 8hr tour and customised the places we wanted to visit and paid R5700 but had to pay entry into the Rhumerie and Chameral. We decided not to visit the Chameral due to time constraints as we wanted to visit Port Louis before the markets closed.SpaWe had a complimentary back massage as we had the honeymoon package but you are able to upgrade and use the value against any other treatment. The grounds and facilities are great; Pool| Deck Chairs| Treatment Rooms| Changing rooms with lockers & Showers| Hammam steam room| Sauna. But I'm afraid to say the service from our masseuse's was very unprofessional!! My wife and I were in a room together and from the point of greating us to completing the treatment they were giggling and being childish. It put a bit of a dampener on out day.Boat HouseThe staff at the boat house were amazing| they were very informative on the options available to us and you can see how they support the lesser confident people with the activities. I did water skiing| but the catamaran was the best for me. They normally hold lessons for beginners in the morning but as it was my last day they allowed me to go out in the afternoon. Dillon took me out for a number laps and was a great teacher| something I would highly recommend!!PoolThe pool area did not get that busy during our stay and we were able to leisurely use the pool and the surrounding area| deck chairs do get taken up quickly so you may want to place you towels down early.BeachBeing a public beach anyone can walk along but it was not ever that busy| don’t get me wrong it is not the romantic secluded paradise Island type but not so busy either. The hawkers hardly bother you at all| you get more distractions from the water sport groups offering activities (non-hotel groups). If you are firm in telling them you are not interested they move on without any resisitance. TennisCourts are in good condition and there is always one available. The rackets can be hired free but you have to purchase Balls if you don’t have your ownGymFully fitted techno gym with air conditioning| water and towel. Separate room with cardio equipment and studio with classes.,Birmingham| United Kingdom,03-10-14,Yes,5
Could not have asked for more,This Resort is generally much larger than we would normally choose but we were very impressed with the location| accommodation| facilities and staff. Standard of service superb throughout the Hotel| nothing too much trouble. Lovely beach with crystal clear ocean. Land and water based sport faciliities excellent and all included within the room rate. Good selection of restaurants| particularly the Indian| just make sure you book ahead as always busy. Easy base from which to explore the Island. Would highly recommend Sept / Oct prior to the main season| but this is personal preference only.,China,29-09-14,Yes,5
Family fun,We spend 10 nights here. I've been to many hotels in mauritius this been one of the best. We had kids with us and all thoroughly enjoyed everything about hotel. Great food. Service good in general. Pools amazing. Well done for keeping them all so beautifully clear. Our room even had private pool. Shower huge! Inside and outside. Special thanks to our daily waiter toosly at breakfast. So pleasant and helpful. Dinners around the many restaurants amazing. Only downsides are too many vendors on beach that bother clients all day to sell their goods. Some get rude and reluctant to accept no thanks as a answer. Watch water sports centre| they try use excuses not to take you or your kids at times to water ski etc saying water bad| weather| busy etc but are quick to recommend private expensive boating companies on same beach. Seems for a buck. Other than this perfect. Cheers. We will be back. I'm,Farnham| United Kingdom,29-09-14,Yes,5
Fabulous resort,We have recently returned from a 12 night stay in a 2 bed villa which was amazing - so much space| beautiful bathrooms including an outdoor bath| private garden| plunge pool| barbeque and a great butler. We enjoyed the privacy afforded by the villa which was set back from the beach in a very peaceful location. All the staff were extremely helpful and friendly and couldn't go to enough trouble for us. The restaurants were great with plenty of variety| the Indian probably being our favourite having tried them all! Trou aux Biches is in a great location on a beautiful beach and an easy drive from places of interest such as Port Louis| the Botanical gardens and Chateau de Labourdonnais. This is a fabulous resort - highly recommended!,Farnham| United Kingdom,25-09-14,No,5
Wonderfull place with very good service,I've been there three weeks for my honeymoon and couldn't expect a better palce : incredible location| perfect room (tropical junior suite)| very nice and helpfull employees and very surprising good food. All restaurants were very good| with special mention for the indian one. I just can recommand this hotel. The only negative point I can notice is the too expensive prices practices for beverage and dishes in supplement in the various restaurants.,Salvan| Switzerland,23-09-14,No,5
Fantastic holiday,Just back from 10 days in trou aux| had an amazing time. Beachfront villas are amazing| so spacious and luxurious. Staff very friendly| Dean especially looked after us very well| making sure our holiday was the best it could be. I would love to return.,Edinburgh| United Kingdom,18-09-14,No,5
Fantastic - would visit again,We stayed for 10 days and loved the place - very spacious grounds and lovely gardens and on the best beach on the island as far as I'm concerned (we drove around most of the island while we were there).The layout is such that they are very private - you don't have anyone facing you. Rooms are also very spacious and well appointed - we had a junior tropical suite with the outdoor shower which was the best part of the suite - didn't bother using the indoor shower at all as it was so nice outside. Room service was outstanding - it seemed as though every time we left the room someone snuck in to make it nice again! Plenty of choices for food but would recommend booking in advance if you intend to eat dinners in the resort - the restaurants fill up fast which just leaves you with the buffet which is great for breakfast but not so good for dinner. The Indian and Italian restaurants were good but if you have a car there are options outside the resort - loved eating from the street vendors on the beach in Grand Baie - a few roti and noodles cost about the equivalent of $5 AUD for the two of us for lunch.We hired a car for the duration through Maki (very good service and much less than Hertz or Europcar) and parking at the resort was free. Service overall was fantastic - nothing was too much trouble for any of the staff. Highly recommended.,Perth| Australia,15-09-14,No,5
Relaxing| with Everything,The rooms were fantastic| especially the bathroom - so much space. Service was exceptional and the resort had everything you needed to sit back and enjoy a relaxing break. I would recommend this place to anyone looking for a peaceful holiday,Karratha| Australia,14-09-14,No,4
Amazing Stay,This was our first time in Mauritius and we decided on staying in the North of the Island for our first 5 days as we had heard the weather in August would be better.The rumours were right| we had sunny hot days with little cloud and rain. The hotel is located on the most amazing beach| soft white sand and clear sea. The hotel itself is faultless| the service| facilities and food and drink were perfect.RestaurantsA good choice of restaurants from buffet to full a la carte. Each restaurant has a unique feel but the overall service and quality in each was the same. We preferred the smaller buffet restaurant though as it felt more intimate than the larger one. Our favourite restaurant was the Thai.Swimming PoolsA choice of pools| one of which was heated| lots of sunbeds and not at all crowded.RoomsWe had a family suite which was perfect for us| the kids had a separate room and bathroom and outside the terrace were beautiful gardens they could play in.WatersportsPlenty on offer and the staff were brilliant| they taught my 12 year old to water ski and they offered 2 trips a day for snorkelling and glass bottom boat.Kids ClubWas large and had everything| they really did take care of the children by keeping them occupied with a range of activitiesTennisThe courts are free but you need to book a day in advance| you get one hour free per day| Racquets are included but you pay for balls| so if you are a tennis person take your own balls as you will save moneySpaOne of the best and most relaxing spas I have been too. Make sure you allow for time to relax in the spa after any treatments as it really is serene and beautiful.The hotel is also close to Grand Baie| approx. 15 minutes in a taxi for around £8,Manchester,10-09-14,No,5
Honeymoon,We stayed in one of the beach front suites| room 103. It was excellent in every respect. The room exceeded our expectations and we absolutely loved the view from the room and the huge huge bathroom. Service and the food at the restaurants (Thai| Italian| International| and Indian) was truly amazing and we made friends with many of the waiters who went out of their way to make the the dinning experience very special. Only criticism was the main buffet restaurant - the food was very average. We highly recommend this hotel. Beach is perfect. Soft white sand. We went at the end of winter so the hotel was fairly quiet (50% full). Overall a wonderful wonderful holiday and would definitely go back!!!!,Johannesburg| South Africa,03-09-14,No,5
Amazing vacations there,We spent 2 weeks of a charming stay. To make it quick: we didn't even find time and will to get out of the resort and tour in Maurice. Everything is made to make you feel special. Beach sports are great| rooms are great. Food is really good and the taff changes the menus everyday so that you can't eat twice the same meal ;) The kids were very happy| up at 10 and back at 8 ... nether seen before. Not asking for Ipad ... In five words: we will come back soon.,London| United Kingdom,03-09-14,No,5
Best family holiday we have ever had!,We spent 2 wks here| returning end August| with 3 kids aged 8-11. It was without doubt the best family holiday experience we have enjoyed. We booked Trou Aux Biches Beachcomber on the advice of a travel agent friend| who told us it was the best part of the island at this time of year (their winter) as it has a sheltered position on the NW corner.We had a 2 bed family suite| which was huge| with 3 bathrooms and an enormous super king sized bed in our room. Linen was spotless and changed daily. It was quiet and private| overlooking a shared pool in the beautiful gardens| a 60 second stroll from the beach and Caravelle restaurant.The beach at Trou Aux Biches is absolutely stunning| a vast expanse of white sand and clear turquoise sea. I took dozens of photos| and i just dont think it would be possible for the beach to look anything other than idyllic. We had a problem finding sunloungers on our first day... On day 2| we were approached by Rishi from the beach crew| who had been tipped off by the general manager as to our moaning (!)| and he asked if we would like beachloungers set up and reserved each day. Which we did!The food everywhere was absolutely fantastic. Our full board plus package meant we could dine at any of the restaurants| with all wine and drinks included. We particularly liked the Indian restaurant| where the staff were just brilliant and even taught the kids how to play the santor (a bit like a sitar). The staff throughout the hotel were really fantastic. They bent over backwards to make our holiday trouble free and relaxing. Fatima| the general manager was very visible around the resort. She heard that one of our children had needed to go to hospital and called me to see how they could assist. They also arranged for a doctor to attend (at our cost| but not an issue).We took several boat trips| bought on the beach. We were lucky enough to swim with wild dolphins| snorkel the lovely reefs| go parasailing| kayaking| paddleboarding| drive a speedboat| take lots of tubing excursions from the beach etc. We also took the local bus to the incredible local market at Port Louis| which was a good way to see local life a little. It costs about 50p each way. There is a lovely fruit and veg market with some local stalls selling delicious Indian food.There is a cashpoint ATM at Trou Aux Biches village| a 5 min walk up the beach. There is also a post office| pharmacy| car rental and spa there too...perfect. The weather was lovely. It rarely dipped below 28 degrees. It rained at night| but only once during the day. It was sunny but not boiling...perfect for children. It was not humid and the mozzies were not too terrible. I got bitten quite a lot but no one else did...a quick trip to the pharmacy sorted out the bites.The beach vendors are mostly very sweet and quite good fun. If you dont wish to buy| just say a firm no thank you. We bought some lovely woven bags| pearl necklaces and 'cashmere' shawls (top quality viscose) and enjoyed haggling. Generally got around 65% off the starting price!This resort has been very cleverly and carefully planned. The grounds are stunning and allow privacy for guests. The beach was so beautiful that we didnt use the resort pools| but they were lovely too. The staff are Mauritian - which sounds silly| but many international resorts import top notch staff from Eastern Europe for the season. They are very kind| hardworking and friendly and make a huge effort to do whatever it takes to give you the best holiday possible. This was our first time in Mauritius and we loved every minute at this incredible resort. Thanks to all the staff for making it a dream holiday.,London| United Kingdom,29-08-14,No,5
An Absolute Gem,I have just returned from a 14 night stay at TAB with my wife| 14 year old son and 12 year old daughter. I echo just about every other comment on here – this place is absolutely wonderful and it was a joy to stay there. The hotel has a beautiful setting and a very relaxed| serene atmosphere. The beach is pristine| and the sea wonderful. It is winter there at present and we took shorty wetsuits in case – but the sea is a glorious temperature and the wetsuits were not necessary| even when snorkelling from a boat out beyond the reef. There is a fantastic infinity pool| and a hotel ‘boat house’ where guests are free to take out kayaks| catamarans| pedelo’s etc. The staff at the boat house are great and will instruct you on how to use the various craft. They will also take you out to the reef on a glass bottomed boat and also on a boat from which you can snorkel. This latter trip is perfect for beginner snorkelers| who might fear to get off the boat in 5m deep water – the staff are incredibly helpful and assist anyone who is nervous. We did it several times| and yes| we were petrified the first time| having never done it before. But we loved it straight away.We had booked a Family Room| but were actually lucky enough to be up-graded to two connecting ‘Ocean View Junior Suites’. These were stunning| with amazing views out onto the ocean| a private outdoor ‘plunge pool’ and an outdoor private shower which frankly is the best shower any of us had ever had. I struggled to get my daughter out of it! Our housekeeper| Lutchmee| was wonderful| and kept the two suites spotless| every day.We were on a Full Board Plus package which meant we could eat huge amounts at lunch and then do the same again at dinner| all washed down with a bottle of wine and soft drinks. The main restaurant provided a buffet| and the menu changed daily. It was perfect for a family and the kids loved the choices on offer. The food was of a very high standard. We always found the staff to be friendly| helpful and very keen to please.We also dined at one of the four other restaurants on site (the Indian) and this frankly was a sublime experience – wonderful service| great food and beautiful surroundings. Utterly perfect.People have commented on here about the beach hawkers being a problem and irritating. I think it depends on how you respond to them – a fairly firm ‘thanks| but I’m not interested’ usually is enough to see them off. If you let them start talking to you| be prepared for a long sales pitch!On three occasions| the hotel surprised me with its service. The first time was when I asked at reception whether it was possible to arrange to see a doctor| as I had a problem with one of my ears. Within 20 minutes| a doctor was in my suite| peering into my ear and then handing me antibiotics and painkillers. Absolutely brilliant service (obviously I had to pay for it| but that is not the point I am making).The second occasion was when we first ate at the hotel’s Indian Restaurant. The Head Waiter came to our table and said ‘One of you is allergic to eggs| I believe?’. We had forgotten that on arrival we had been asked about allergies| and had informed them of my son’s allergy. Anyway| when the Naan bread arrived| my son was given a separate dish of Naan’s| all of which had been specially cooked for him| egg free. This greatly impressed| and thrilled| us.On the third occasion| my wife was having trouble arranging a horse riding excursion with a third party| at a location remote from the hotel. The email correspondence had suddenly stopped and the arrangements appeared to have been forgotten. We asked Jennifer on reception if she could help us| and she went out of her way to call the third party| and calmly sort out the confusion. The next thing we know| my wife and daughter were picked up from reception by a taxi and taken off to the horse riding excursion. Perfect.Their winter weather was ideal| and often pretty hot – I dread to think how hot and humid it must get in their summer! There were mosquito’s| but not many at this time of year| and in any event the suites are equipped with electrical repellents which we found worked very well. There are also cream repellents provided| which worked well too – I only had a half dozen bites over the full two weeks| and usually I get eaten alive. There was very little rain| and when it did rain| it was short lived. It may be winter there| but the sun is still pretty fierce.We found all the staff to be incredibly helpful| caring| courteous| and keen to make sure you were happy. I was amazed at how quickly some of them remembered our room number or our names – this was a lovely touch. The two head waiters at the Indian restaurant were brilliant (to my shame I cannot recall their names). I found the guys who looked after the sports centre to be great: if you like competitive table tennis| there are two very good players indeed in Andy and Jim| and they will be sure to give you a hell of a game! Fatima| one of the senior managers of the hotel| took the time every day to wander around at dinner and speak to the guests| checking they were happy| and we found this to be a lovely touch.The whole hotel complex (and it is pretty big!) feels very safe and secure and we were happy for our children to wander around on their own| even at night - it is all beautifully lit and the place almost has an ‘elvish’ feel about it. If you are remote from the main restaurant| reception and pool area| as we were (we loved being so remote)| you can use the freely available shuttle trolley cars which arrive at your door within minutes of being asked. The evening entertainment is professional and the musicians are of a surprisingly high standard – the drummer in particular stood out for me (I’m a drummer myself!). They don’t play too loudly| and they have an amazing repertoire – on one night they were taking requests from the audience and belting out all manner of pop and rock songs from the past. Very impressive. And if you want peace and quiet| you can easily find it – the music does not boom out across the entire hotel at all.Checking in and checking out was relaxed and straightforward| and there were no surprises with the final bill – other than being amazed at how many milk shakes my kids got through.All in all| I think this is an absolute gem of a place to stay| whether for a family or for couples. We will be returning next year as a family and I am sure that in future years my wife and I will revisit on our own. We all absolutely loved our stay here. Thoroughly recommended.,Leicester| United Kingdom,28-08-14,No,5
Wonderful Family Vacation,A beautiful soft white sand beach with crystal clear water| excellent arrangement for water sports| good hotel property| excellent service| courteous staff with personalized care| nice restaurants with adequate choices - all this made it a perfect place for family vacation.We stayed in their junior suite with outdoor shower. The room was fantastic| very spacious and tastefully done. All the staff together with the hotel manager were very warm. Only few areas where the hotel could improve further| one was the food at the Indian restaurant and also few of the towels provided in the room were not upto the mark (these can be replaced permanently - the hotel staff did replace those for us). The rest was all perfect. I would like to revisit and hope next time we get better rates/deal (say like full board| etc.). I recommend this hotel.,Delhi,25-08-14,No,5
Beautiful place,I have stayed in many good hotels but this one beats the lot it is 5 star plus and has its own private beach with white sand shaded by mature and tall coconut trees.It has been recently rebuilt- within the last 2 years and is a fabulous resort complete with spa|massage| 8 tennis courts and 6 restaurants covering a range of foods including Tai|Indian|European.The best thing about this hotel is the peace and tranquillity you experience especially noticeable at night where you can stroll along the private beach |and it is secure as a number of security guards discretely patrol the grounds| and it is only possible to enter if you show your pass.Restaurants need to be booked for dinner and the Thai one is particularly good with great service.The quality and quantity of food in the main one Oasis which I used for breakfast and some lunches was excellent with a free flow system in operation and it was possible to get food cooked to order by chef e.g. omelets|pancakes|steaks|fish etc. A great variety was available for breakfast eg fresh squeezed juices apple|orange|grapefruit|pancakes|freshly home made marmalade|english breakfast|continental breakfast|fish|sweet cakes|fresh fruit |fresh bread I could go on.Rooms are not like the usual hotel as they are in detached 2 storey villas rather like apartments and the beds are huge 7 foot wide and the most comfortable I have ever seen with fabulous large pillows.LCD TV is available with BBC if you want it and wi fi is free which is handy.Staff are helpful and friendly which is what one expects from this grade of hotel and they come into the room to turn down the beds at night although I don't think this is needed in fact Id rather they didn't come into my room although on reflection there is a device which you can leave on the door outside to say you don't require this service.The shower room and bathroom are open plan well equipped and adjoining the wardrobe with a separate toilet.A minor complaint I had was the towels were rather rough and the lighting in the bedroom was very dark.There was a huge balcony which overlooked a green area and it was useful for drying clothes.The whole complex which houses 800 residents is served by a number of buggies 24/7 which are really useful as the villas could be some distance from reception and at night I found it sometimes difficult to locate my room at the start .This would be a particularly good hotel for a family as it has everything needed included a kids club and the swimming pools are amazing and very safe .Entertainment is available each night and this was mid winter in Mauritius so it was a little quiet although I understand almost all rooms were occupied.,Belfast,21-08-14,No,5
Close to perfect,If you are looking for a brilliant beach hotel for a family holiday then this is it. We stayed at Trou aux Biches for 6 nights in July. This was our first trip to Mauritius and we chose Trou aux Biches after extensive research of hotel and the best location for the time of year. Our safari organiser| Rose at The Luxury Safari Company| easily incorporated this into our safari plans and got us a good deal as well. We were so pleased we chose this hotel. It completely exceeded our expectations right from the start. After the long flight it was a delight to arrive at the brand new airport - a very civilised experience. It was so early in the morning that I hoped but didn't expect our rooms to be ready but they were. The hotel looks fantastic - long beautiful beach| well maintained gardens and really excellent rooms. Cleaning very good and efficient. Hurrah for the free wifi in the rooms which actually worked. We stayed in a family suite and it was excellent - two separate bedrooms|each with bathroom| joined by a hallway which gives a nice feeling of space and separation| plus patio and a lovely outdoor shower. The food was excellent and that includes the buffet - the French influence really shows even in the quality of the bread. We stayed on a full board plus basis which covered soft drinks| beer or wine and coffee with lunch and dinner and was just fine for what we required. Caveat - if you want to drink at the bar then you may be better suited with an all inclusive hotel. Ŵe preferred duty free gin and tonics on our patio so drinks prices weren't a problem for us. As a benchmark| the standard of wine in the full board plus option was around the £7-9 mark in a UK supermarket. Service was spotty at lunchtime when waiting staff seemed overwhelmed but at least you could help yourself at the buffet so you only had to wait for drinks. The hotel manager keeps a close eye on standards and was very visible introducing herself to guests and talking to them about their stay.A special mention for the nurse who runs the clinic attached to the hotel. A small cut needed attention and the reception desk immediately led us to the in-house clinic where an efficient and helpful nurse quickly sorted out the problem| whilst telling us about his nurse training in the UK. A big thank you to him and well done to the hotel for having such an amazing facility - problem solved instead of having to go out looking for a pharmacy and medical centre.Most days were sunny and warm at some points but the sea was too cold for more than quick dips. A beautiful beach though with no shortage of sunbeds. Warmer and sunnier weather would have been better but we didn't mind too much because we were having such a good time. I am sure that the location on the north west had the better weather and we noticed how much worse the weather was on the airport side of the island|We would definitely go again and plan to do so. In theory we are willing to try other hotels in Mauritius but it is hard to move away from a hotel which has delivered to such a high standard across the board.,London| United Kingdom,20-08-14,No,5
A fantastic resort!,We are a family of six and had booked 2 x beachfront suites. Rooms were very spacious| tastefully decorated and had plenty of wardrobe space etc. They were interconnecting which was ideal for us. The room easily accommodates three and the ensuite is amazing. We particularly liked the outdoor shower. We were booked in rooms 503/504 and they had a fantastic deck and plunge pool. We did not use this as much as we would have liked as for most of the day it was in the shade| which was a shame. That said it took 30 seconds to get to the beach and it was an amazing view to wake up to each day.Food was generally very good at all of the restaurants and we were pretty organised and made sure we booked for the next three or four days so were generally able to get the restaurants and times that we wanted. The one area that we felt could have been improved on was the speed with which the drinks arrived. Soft drinks and wine could frequently arrive after the you had started eating your food.A real highlight for us was the variety of water sports on offer - I particularly enjoyed the waterskiing. The staff who managed the water sports were always very helpful and encouraging. There are a few little things that could be improved| but would absolutely have no hesitation in recommending this resort. I really hope at some point we will return!,Amersham,17-08-14,No,5
Amazing resort!!!,"I had an amazing family at this resort in May 2014. The resort is large| and very beautifully decorated| in a very calming| relaxing style. Rooms are very comfortable| with large beds| and modern bathrooms. The beach is long| with soft white sand. The meals were incredible - a very large buffet breakfast| with a variety of sweet and savoury foods. Dinner was also very enjoyable| and we sampled the speciality restaurants| and also enjoyed the variety and huge quantities on offer at the buffet. The service is impecible| and the staff are always there| to say ""yes"" to your every need. My two year old enjoyed playing in the Kids Club| which has good facilities| and care givers| and she enjoyed the large pool area| with dedicated adult and children pool areas. What an amazing family holiday and resort!",Johannesburg| South Africa,12-08-14,No,5
Trou Aux Biches Resort! AMAZING,Trou aux Biches is a great hotel for a business trip| romantic getaway or in my case| a family holiday.Along to the great rooms| the tasty meals and the great facilities| the service is one of the greatest features of the resort. You can tell that the people are willing to help and are happy to assist you. There was one chef in the open buffet who seemed a bit unhappy but I understand people have lives and he may have had a bad day. I would not hold it against the Resort.The transport from airport to the Resort is well organised and the driver was friendly even though we arrived at 11 pm that evening. The dinners were good. The different themed restaurants allows there to be variety in your visit. The variety at the breakfast buffet was also of good standard; Nice choice of breads|meats|yoghurt and even cereal! The food was also tasty and well prepared. I like how the different chefs stand by the different sections in the buffet to answer any questions you have. The room was spacious|comfortable and neat.The rooms offer free WiFi which is a nice touch. The one tap in the bathroom was broken but people arrived at the room to fix it when we called reception to report it. The mini-bar in the bedrooms were well equipped with snacks and drinks. There was a problem with our cards for room-access on the last evening of our stay; I suspect that they were deactivated the evening before we were meant to depart. We hired a taxi through the resort to travel to Port Louis; it was well organised and the taxi arrived quickly. We were greeted by a friendly driver who advised us on places to go in Port Louis. The bar and night-entertainment was nice; The musicians were very talented BUT what made them special was the fact that they had some kind of friendliness and sense of happiness about them| they obviously enjoyed singing and they are obviously doing it for the passion| not the money. I also enjoyed how they accepted song requests from the audience. The resort has a variety of water-sports to choose from which allows for a fun-packed day but if you feel like relaxing| there's a beautiful beach| a large pool and seating under the trees. For ultimate relaxation| there is a spa which offers a variety of relaxing treatments. The gym and teens-entertainment centre are both of high standard and offer a variety of activities. The gym has all sorts of good quality exercise-equipment and there are different classes in the gym every day! There is a business centre for people in need of a computer On the morning of our departure| we were greeted with genuine smiles and a nice little breakfast table to snack off of before our 45 minute trip to the airport which was also well organised. Overall| the quality of our stay was of high standard and I recommend Trou Aux Biches Resort to any family|business person or couple. You will even enjoy it if you decide to take a little well-deserved holiday on your own.,London| United Kingdom,10-08-14,No,5
